"","Athlete","State","Coll.Time","Gr12","Gr11","Gr10","Gr9","Team","College.Grade","Name.of.College","Year","College.Conf","College.All.Conf","College.AA","Olympian","College.Division","Event"
"160","Kala Kopecek","CA",00:02:09.2,00:02:20.51,NA,00:02:28.80,NA,"St. Joseph (Lakewood)","SR","Oregon State",2018,"Pac 12",0,0,0,"D1","800m"
"161","Kaleala Bass","ID",00:02:11.0,00:02:17.04,00:02:18.90,00:02:25.70,00:02:19.65,"Grangeville","JR","Idaho",2018,"Big Sky",0,0,0,"D1","800m"
"162","Kara Burton","IL",00:02:28.8,00:02:20.40,00:02:22.85,NA,00:02:32.00,"Palatine","","Colorado Mines",2018,"Rocky Mtn",0,0,0,"D2","800m"
"163","Karina Liz","IL",00:02:11.0,00:02:13.32,00:02:13.42,00:02:10.73,00:02:19.77,"Aurora Central Catholic","","Missouri",2018,"SEC",0,0,0,"D1","800m"
"164","Karina Mann","CO",00:02:09.1,00:02:13.67,NA,00:02:16.54,00:02:16.96,"Monarch","JR","Colorado",2018,"Pac 12",0,0,0,"D1","800m"
"165","Kate Gobi","MA",00:02:18.9,00:02:24.03,00:02:20.12,00:02:17.19,00:02:16.55,"Wachusett Regional","SO","Georgetown",2018,"Big East",0,0,0,"D1","800m"
"166","Katelin Warren","AZ",00:02:11.2,00:02:23.24,00:02:20.85,00:02:16.08,NA,"Mountain Pointe","JR","Arizona",2018,"Pac 12",0,0,0,"D1","800m"
"167","Katherine Embody","CA",00:02:32.4,00:02:27.76,NA,00:02:34.40,00:02:41.23,"Castro Valley","SR "," Cal St. East Bay",2018,"CCAA",0,0,0,"D2","800m"
"168","Katherine Haysbert","CA",00:02:11.6,00:02:17.50,00:02:16.37,NA,NA,"Alverno","SR","California",2018,"Pac 12",0,0,0,"D1","800m"
"169","Katie Fowler","OH",NA,00:02:36.29,00:02:37.60,NA,NA,"Mt Vernon","","",2018,"OAC",0,0,0,"D3","800m"
"170","Katie Glew","IL",00:02:23.0,00:02:35.20,00:02:24.57,NA,NA,"Winnetka (North Shore Country Day)","FR","Middlebury",2018,"NESCAC",0,0,0,"D3","800m"
"171","Katie Jasminski","CT",NA,00:02:16.10,00:02:14.20,00:02:20.26,00:02:20.73,"Ridgefield","","",2018,"UAA",0,0,0,"D3","800m"
"172","Katie Scott","UT",00:02:20.4,00:02:20.13,NA,00:02:25.82,00:02:27.08,"Judge Memorial","","Westminster (Utah)",2018,"Rocky Mtn",0,0,0,"D2","800m"
"173","Katie Williams","IN",00:02:15.7,00:02:22.59,NA,NA,NA,"Harrison (West Lafayette)","FR","MIT",2018,"NEWMAC",0,0,0,"D3","800m"
"174","Katy Foltz","OH",NA,00:02:29.15,00:02:36.49,NA,NA,"Sheridan","","",2018,"OAC",0,0,0,"D3","800m"
"175","Katy Parsons","CO",00:02:17.9,00:02:18.91,00:02:28.57,00:02:37.88,NA,"Hotchkiss","SO","Baylor",2018,"Big 12",0,0,0,"D1","800m"
"176","Kayla Wooten","IL",00:02:17.3,00:02:14.67,00:02:21.23,00:02:24.63,00:02:44.60,"Oswego","","Uc-Colo. Spgs.",2018,"Rocky Mtn",0,0,0,"D2","800m"
"177","Kayleigh Hildreth","NY",00:02:33.2,NA,NA,00:02:30.55,NA,"Sweet Home","FR","Brockport",2018,"SUNYAC",0,0,0,"D3","800m"
"178","Kelli Weighmink","MI",00:02:20.7,00:02:32.25,00:02:42.60,NA,NA,"Zeeland East","","Davenport",2018,"GLIAC",0,0,0,"D2","800m"
"179","Kelly Brennan","OH",NA,00:02:18.59,00:02:38.73,NA,NA,"Walsh Jesuit","","",2018,"OAC",1,0,0,"D3","800m"
"180","Kelly Hart","VA",00:02:06.4,00:02:16.26,00:02:14.41,NA,00:02:30.31,"Yorktown","JR","Notre Dame",2018,"ACC",0,0,0,"D1","800m"
"181","Kelly Mindak","IL",00:02:16.0,00:02:15.89,00:02:17.89,NA,NA,"Marian Catholic","FR","Butler",2018,"Big East",0,0,0,"D1","800m"
"182","Kelsey Harris","IN",00:02:05.6,00:02:13.10,00:02:16.44,NA,NA,"Carmel","SO","Indiana",2018,"Big 10",1,0,0,"D1","800m"
"183","Kelsey Margey","NY",00:02:07.4,00:02:09.86,NA,NA,NA,"Friends Academy","SR","Villanova",2018,"Big East",1,0,0,"D1","800m"
"184","Kemunto Ondande","IL",NA,00:02:33.36,NA,NA,NA,"Oak Park-River Forest","","",2018,"American Rivers Conf",0,0,0,"D3","800m"
"185","Kendell Wiles","VA",00:02:05.8,00:02:24.39,NA,NA,NA,"Blacksburg","SR","Indiana",2018,"Big 10",1,0,0,"D1","800m"
"186","Kendra Larson","CO",00:02:18.5,00:02:19.56,NA,00:02:14.87,00:02:17.51,"Thompson Valley","JR","Montana State",2018,"Big Sky",0,0,0,"D1","800m"
"187","Kendria Edouard","GA",00:02:15.8,00:02:23.50,00:02:16.37,NA,NA,"Chapel Hill","FR","Georgia Tech",2018,"ACC",0,0,0,"D1","800m"
"188","Khadijah Reid","VA",00:02:15.9,NA,NA,NA,00:02:27.23,"Tallwood","SO","N. Carolina A&T",2018,"MEAC",0,0,0,"D1","800m"
"189","Kieren Becker","MI",00:02:15.1,00:02:30.67,00:02:38.20,00:02:36.06,NA,"Fowler","","Northern Michigan",2018,"GLIAC",0,0,0,"D2","800m"
"190","Kristen Madeia","CT",00:02:16.1,00:02:33.21,00:02:25.02,00:02:21.70,NA,"Berlin","JR","Springfield",2018,"NEWMAC",0,0,0,"D3","800m"
"191","Kristin Semancsin","CA",00:02:15.4,00:02:18.60,00:02:20.71,00:02:23.07,00:02:30.28,"Valhalla","SR "," UC San Diego",2018,"CCAA",0,0,0,"D2","800m"
"192","Kristoni Barnes","NC",00:02:08.0,00:02:24.84,00:02:33.41,NA,NA,"Wake Forest","SO","N. Carolina A&T",2018,"MEAC",1,0,0,"D1","800m"
"193","Kylie Cleveland","CA",00:02:18.3,00:02:22.06,00:02:40.61,00:02:19.65,NA,"Santa Teresa","SR "," Stanislaus State",2018,"CCAA",0,0,0,"D2","800m"
"194","Kylie Goo","CA",00:02:19.6,00:02:11.49,00:02:10.51,00:02:17.40,NA,"Westmoor","SR","Northern Arizona",2018,"Big Sky",0,0,0,"D1","800m"
"195","Laurel Hoogensen","IA",00:02:25.5,00:02:23.33,NA,NA,NA,"Abraham Lincoln","FR","Iowa State",2018,"Big 12",0,0,0,"D1","800m"
"196","Lauren Diaz","NJ",00:02:18.0,00:02:17.32,00:02:22.62,00:02:19.04,NA,"Summit","SO","Tufts",2018,"NESCAC",0,0,0,"D3","800m"
"197","Lauren Masden","KY",00:02:17.1,00:02:17.20,00:02:19.61,00:02:24.72,NA,"Bullitt East","FR","Bellarmine",2018,"GLVC",0,0,0,"D2","800m"
"198","Lauren Moody","NC",00:02:10.4,00:02:12.84,NA,NA,NA,"T C Roberson","SR","North Carolina",2018,"ACC",0,0,0,"D1","800m"
"199","Lauren Wellman","MI",00:02:23.9,00:02:28.90,00:02:24.32,00:02:29.28,00:02:29.85,"Saginaw Heritage","","Saginaw Valley",2018,"GLIAC",0,0,0,"D2","800m"
"200","Laurie Barton","SC",00:02:05.6,00:02:09.62,00:02:10.79,00:02:20.62,NA,"D W Daniel","SO","Virginia Tech",2018,"ACC",0,0,0,"D1","800m"
"201","Layla Almasri","CO",00:02:18.3,00:02:15.43,00:02:28.25,00:02:27.90,NA,"Pine Creek","","Uc-Colo. Spgs.",2018,"Rocky Mtn",0,0,0,"D2","800m"
"202","Lea Strangio","MA",00:02:15.2,00:02:18.32,NA,NA,NA,"Watertown","SR","WPI",2018,"NEWMAC",0,0,0,"D3","800m"
"203","Leah Rivers","CT",00:02:24.3,00:02:19.32,00:02:23.98,00:02:37.16,00:02:25.53,"Wilbur Cross","FR","St. John's",2018,"Big East",0,0,0,"D1","800m"
"204","Leah Rosenfeld","NJ",00:02:23.8,00:02:22.79,00:02:21.60,00:02:27.68,NA,"Ridgewood","SO","Williams",2018,"NESCAC",0,0,0,"D3","800m"
"205","Leanne Asper","ID",00:02:13.6,00:02:35.39,00:02:17.16,NA,NA,"Lake City","SR","Eastern Washington",2018,"Big Sky",0,0,0,"D1","800m"
"206","Lexi Elinkowski","UT",00:02:18.4,00:02:28.47,00:02:25.30,00:02:30.07,NA,"Layton","JR","Weber State",2018,"Big Sky",0,0,0,"D1","800m"
"207","Lily Tyrrell","WA",00:02:19.1,NA,00:02:20.81,00:02:28.33,00:02:36.22,"Selah","FR","Eastern Washington",2018,"Big Sky",0,0,0,"D1","800m"
"208","Lindsey Davenport","NY",00:02:20.0,00:02:28.18,NA,NA,NA,"Webster Thomas","SR","Plattsburgh",2018,"SUNYAC",0,0,0,"D3","800m"
"209","Linnea Saltz","NV",00:02:14.5,00:02:16.09,NA,NA,NA,"Coronado","SO","Southern Utah",2018,"Big Sky",0,0,0,"D1","800m"
"210","Lisa Flora","CA",00:02:29.2,NA,00:02:29.67,NA,NA,"Escondido","SR "," Cal St. San Marcos",2018,"CCAA",0,0,0,"D2","800m"
"211","Lydia Fanning","MA",00:02:19.9,NA,00:02:38.20,NA,00:02:32.74,"Governor's Academy","SO","Colby",2018,"NESCAC",0,0,0,"D3","800m"
"212","Lynette Amaram","TX",00:02:13.8,00:02:11.28,00:02:14.79,NA,NA,"Stafford","SO","UTSA",2018,"Conf USA",0,0,0,"D1","800m"
"213","Madeleine Routhier","OH",NA,00:02:30.00,NA,00:02:44.56,NA,"Hilltop","","",2018,"OAC",0,0,0,"D3","800m"
"214","Madeline Hamilton","MT",00:02:11.4,00:02:11.40,00:02:11.40,00:02:25.62,00:02:21.83,"Sentinel","FR","Montana",2018,"Big Sky",0,0,0,"D1","800m"
"215","Madison Harris","FL",00:02:18.3,00:02:13.59,00:02:15.36,00:02:15.97,00:02:19.03,"Wakulla","JR","Florida State",2018,"ACC",0,0,0,"D1","800m"
"216","Madison Kile","OH",NA,00:02:30.60,00:02:28.13,00:02:23.43,00:02:22.39,"Hoover","","",2018,"OAC",0,0,0,"D3","800m"
"217","Madison Macelrevey","DE",NA,00:02:33.05,00:02:23.41,00:02:32.61,NA,"Cape Henlopen","","",2018,"OAC",0,0,0,"D3","800m"
"218","Madison Perry","ME",00:02:35.1,00:02:41.30,00:02:30.54,NA,NA,"Biddeford","FR","WPI",2018,"NEWMAC",0,0,0,"D3","800m"
"219","Madison Tippet","VA",00:02:22.5,00:02:19.00,00:02:18.15,00:02:18.95,00:02:18.52,"Lake Braddock Secondary","","Tennessee",2018,"SEC",0,0,0,"D1","800m"
"220","Madison Vauters","IN",00:02:27.3,00:02:41.10,00:02:30.16,00:02:28.56,00:02:20.45,"Mooresville","FR","Indianapolis",2018,"GLVC",0,0,0,"D2","800m"
"221","Madisyn Estkowski","MI",00:02:19.7,00:02:28.03,00:02:25.24,00:02:24.50,00:02:25.62,"St. Joseph","","Michigan Tech",2018,"GLIAC",0,0,0,"D2","800m"
"222","Maggie Carruth","WY",00:02:08.6,00:02:25.77,00:02:18.01,NA,NA,"Jackson","JR","Northern Arizona",2018,"Big Sky",1,0,0,"D1","800m"
"223","Makayla Wagner","OH",00:02:40.2,00:02:31.40,00:02:31.04,00:02:25.98,00:02:30.80,"Oak Harbor","","Ashland",2018,"GLIAC",0,0,0,"D2","800m"
"224","Mallory Barrett","MI",00:02:12.4,00:02:11.06,00:02:12.46,00:02:13.58,NA,"Highland-Milford","FR","Michigan",2018,"Big 10",0,0,0,"D1","800m"
"225","Marlow Schulz","MT",00:02:10.2,00:02:13.81,NA,NA,NA,"Whitefish","SR","Washington State",2018,"Pac 12",0,0,0,"D1","800m"
"226","Mary Lundin","PA",00:02:15.3,NA,00:02:23.40,00:02:25.25,NA,"Scranton Preparatory","JR","Hamilton",2018,"NESCAC",0,0,0,"D3","800m"
"227","Maygen Smith","TX",00:02:11.4,00:02:17.26,00:02:14.16,NA,NA,"Clear Brook","JR","Texas Tech",2018,"Big 12",0,0,0,"D1","800m"
"228","Meg Wilson","MA",00:02:17.5,00:02:15.87,00:02:17.09,00:02:22.71,NA,"Concord-Carlisle","SO","Middlebury",2018,"NESCAC",0,0,0,"D3","800m"
"229","Megan Giovanniello","FL",00:02:18.3,00:02:19.40,00:02:18.21,00:02:23.21,NA,"Estero","FR","Florida Atlantic",2018,"Conf USA",0,0,0,"D1","800m"
"230","Megan Line","IN",00:02:20.5,00:02:22.22,NA,NA,NA,"Noblesville","JR","Bellarmine",2018,"GLVC",0,0,0,"D2","800m"
"231","Megan Rose","OR",00:02:12.0,00:02:30.18,00:02:32.95,00:02:34.56,00:02:44.27,"Liberty","SR","Western Oregon",2018,"GNAC",0,0,0,"D2","800m"
"232","Megan Rourke","TX",00:02:11.1,00:02:08.48,00:02:13.38,00:02:20.45,00:02:25.51,"Austin Lake Travis","FR","Texas",2018,"Big 12",0,0,0,"D1","800m"
"233","Meghan Janssen","MN",00:02:19.4,NA,00:02:22.05,NA,NA,"Minnetonka","JR","North Dakota",2018,"Big Sky",0,0,0,"D1","800m"
"234","Melanie Plattner","NJ",00:02:23.4,00:02:23.54,NA,NA,NA,"Fort Lee","SR","Babson",2018,"NEWMAC",0,0,0,"D3","800m"
"235","Michelle Pineda","CA",00:02:26.2,00:02:21.23,00:02:30.34,00:02:28.43,00:02:34.93,"Fontana","JR "," Cal St. San Bernardino",2018,"CCAA",0,0,0,"D2","800m"
"236","Molly Reicher","CO",00:02:15.8,NA,00:02:24.81,00:02:23.19,00:02:26.36,"Mountain Vista","","Colorado Mines",2018,"Rocky Mtn",0,0,0,"D2","800m"
"237","Molly Weir","MI",00:02:18.6,00:02:19.00,00:02:16.89,00:02:25.79,00:02:23.90,"Rockford","","Uc-Colo. Spgs.",2018,"Rocky Mtn",0,0,0,"D2","800m"
"238","Mone't Peterson","MD",00:02:17.7,00:02:26.90,00:02:17.20,NA,NA,"Thomas Stone","FR","Delaware State",2018,"MEAC",0,0,0,"D1","800m"
"239","Monica Geiser","WI",00:02:18.5,00:02:16.92,00:02:16.37,00:02:20.70,00:02:28.73,"Brillion","SR","Wis.-Parkside",2018,"GLVC",0,0,0,"D2","800m"
"240","Morgan Fuerst","MI",00:02:16.8,00:02:14.96,00:02:22.36,NA,NA,"Waterford Mott","","Saginaw Valley",2018,"GLIAC",0,0,0,"D2","800m"
"241","Morgan Stewart","TX",00:02:09.5,00:02:08.71,00:02:09.60,00:02:13.24,00:02:22.84,"Houston Jersey Village","FR","Baylor",2018,"Big 12",0,0,0,"D1","800m"
"242","Myha Castro","CA",00:02:14.4,00:02:23.30,00:02:28.20,00:02:21.63,00:02:34.81,"Valhalla","SR "," San Francisco St.",2018,"CCAA",0,0,0,"D2","800m"
"243","Natalie Ackerley","WA",00:02:13.9,00:02:17.08,00:02:18.10,NA,NA,"Bainbridge","SO","Washington State",2018,"Pac 12",0,0,0,"D1","800m"
"244","Natalie Vinci","OH",NA,NA,NA,NA,00:02:36.20,"St Thomas Aquinas","","",2018,"OAC",0,0,0,"D3","800m"
"245","Nicole Adams","TN",00:02:11.6,00:02:16.13,NA,NA,NA,"Knoxville West","","Tennessee",2018,"SEC",0,0,0,"D1","800m"
"246","Nicole Bouma","MT",00:02:21.4,00:02:19.80,00:02:19.44,00:02:20.46,00:02:25.27,"Flathead","","Csu-Pueblo",2018,"Rocky Mtn",0,0,0,"D2","800m"
"247","Nicole Choquette","IL",00:02:08.0,00:02:30.26,00:02:14.38,NA,NA,"Urbana","SR","Illinois",2018,"Big 10",0,0,0,"D1","800m"
"248","Nicole Goecke","WA",00:02:08.4,00:02:18.82,00:02:15.57,00:02:22.30,00:02:23.65,"Prairie","JR","Oregon State",2018,"Pac 12",0,0,0,"D1","800m"
"249","Nicole Griffiths","OR",00:02:15.3,00:02:12.65,00:02:14.29,00:02:22.65,00:02:19.30,"Sunset","SO","Utah",2018,"Pac 12",0,0,0,"D1","800m"
"250","Noela Franco","NY",NA,00:02:20.82,00:02:31.76,NA,NA,"West Babylon","","",2018,"UAA",0,0,0,"D3","800m"
"251","Olivia Arizin","PA",00:02:11.0,00:02:07.50,00:02:06.80,00:02:09.74,00:02:21.64,"Cardinal O'Hara","FR","Georgetown",2018,"Big East",0,0,0,"D1","800m"
"252","Olivia Baker","NJ",00:02:03.4,00:02:08.42,NA,NA,00:02:10.41,"Columbia","SR","Stanford",2018,"Pac 12",1,1,0,"D1","800m"
"253","Olivia Dengel","MN",NA,00:02:11.77,00:02:17.63,00:02:16.20,00:02:33.07,"Eden Prairie","","",2018,"MIAC",0,0,0,"D3","800m"
"254","Olivia Smith","OH",00:02:10.5,00:02:16.57,NA,00:02:14.12,NA,"Tiffin Calvert","SR","Ohio State",2018,"Big 10",0,0,0,"D1","800m"
"255","Olivia Suski","FL",00:02:23.2,00:02:25.12,00:02:26.67,00:02:32.38,NA,"Seminole","SO","Coast Guard",2018,"NEWMAC",0,0,0,"D3","800m"
"256","Olivia Woods","OR",00:02:09.8,00:02:35.00,NA,NA,NA,"Reynolds","JR","Western Oregon",2018,"GNAC",0,1,0,"D2","800m"
"257","Paige Cater","MN",NA,00:02:19.40,00:02:20.91,00:02:16.91,00:02:19.55,"Tartan","","",2018,"MIAC",0,0,0,"D3","800m"
"258","Paige Peschel","WI",00:02:09.9,00:02:20.55,00:02:16.81,00:02:23.20,NA,"Westfield/Montello","JR","Minnesota",2018,"Big 10",0,0,0,"D1","800m"
"259","Phoebe Aguiar","KS",NA,00:02:28.95,NA,NA,NA,"Shawnee Mission East","","",2018,"MIAC",1,1,0,"D3","800m"
"260","Piper Donaghu","OR",00:02:09.8,00:02:09.12,00:02:09.84,00:02:12.84,00:02:14.80,"Grant","SR","Georgetown",2018,"Big East",0,0,0,"D1","800m"
"261","Presley Weems","AL",00:02:11.6,00:02:06.87,00:02:16.28,00:02:15.42,00:02:22.85,"Hoover","","Auburn",2018,"SEC",0,0,0,"D1","800m"
"262","Rachael Walters","MI",00:02:13.9,00:02:24.57,00:02:18.18,00:02:31.88,00:02:26.72,"Lowell","","Grand Valley St.",2018,"GLIAC",1,1,0,"D2","800m"
"263","Rachel Bayly","ID",00:02:28.3,NA,00:02:39.90,NA,NA,"Moscow","SO","Western Oregon",2018,"GNAC",0,0,0,"D2","800m"
"264","Rachel Meyer","IL",00:02:32.6,00:02:31.93,NA,NA,NA,"Hononegah","JR","Oswego",2018,"SUNYAC",0,0,0,"D3","800m"
"265","Rachel Pocratsky","MD",00:02:06.4,00:02:13.42,00:02:16.13,NA,NA,"Our Lady Of Good Counsel","JR","Virginia Tech",2018,"ACC",1,0,0,"D1","800m"
"266","Rachel Scheub","MA",00:02:26.1,00:02:33.25,00:02:32.00,00:02:32.46,00:02:41.80,"Old Rochester Regional","SO","Trinity",2018,"NESCAC",0,0,0,"D3","800m"
"267","Reagan Anderson","DE",00:02:27.3,00:02:12.62,00:02:09.85,00:02:10.26,NA,"Tatnall","","Vanderbilt",2018,"SEC",0,0,0,"D1","800m"
"268","Rebecca Ledsham","WA",00:02:11.7,00:02:17.90,00:02:20.16,00:02:24.50,00:02:29.26,"Inglemoor","FR","Oregon Sta",2018,"Pac 12",0,0,0,"D1","800m"
"269","Rhemi Toth","CT",00:02:19.3,00:02:16.24,00:02:19.40,00:02:16.75,NA,"Weston","SO","Tufts",2018,"NESCAC",0,0,0,"D3","800m"
"270","Riley Cooney","CO",00:02:14.5,00:02:12.53,00:02:15.01,00:02:13.85,00:02:19.14,"Mountain View","JR","Kansas",2018,"Big 12",0,0,0,"D1","800m"
"271","Rose Ciriello","NJ",NA,00:02:18.83,00:02:20.41,NA,NA,"Madison-Boro","","",2018,"UAA",0,0,0,"D3","800m"
"272","Ruth Cvancara","AK",00:02:13.2,00:02:21.59,00:02:25.75,00:02:23.04,00:02:33.49,"Dimond","FR","Alaska Anchorage",2018,"GNAC",0,0,0,"D2","800m"
"273","Ryan Weiss","IA",00:02:22.4,00:02:21.80,00:02:20.62,NA,NA,"Ames","","South Dakota Mines",2018,"Rocky Mtn",0,0,0,"D2","800m"
"274","Rylee Bahe","NE",NA,00:02:24.49,00:02:23.85,00:02:23.19,NA,"Northwest","","",2018,"American Rivers Conf",1,0,0,"D3","800m"
"275","Sabrina Rautter","CT",00:02:25.2,NA,NA,00:02:29.41,NA,"New Fairfield","","Metro State",2018,"Rocky Mtn",0,0,0,"D2","800m"
"276","Sabrina Southerland","NY",00:02:02.2,00:02:06.09,00:02:12.49,00:02:16.16,NA,"Benjamin Cardozo","SR","Oregon",2018,"Pac 12",1,1,0,"D1","800m"
"277","Sadie Wassum","WY",00:02:15.3,00:02:16.27,NA,NA,NA,"Worland","JR","Utah",2018,"Pac 12",0,0,0,"D1","800m"
"278","Samantha Murray","OH",00:02:09.8,00:02:09.25,NA,NA,NA,"Defiance","SR","Notre Dame",2018,"ACC",0,0,0,"D1","800m"
"279","Samara Miller","IL",00:02:12.4,00:02:17.00,NA,NA,NA,"Neuqua Valley","SO","Purdue",2018,"Big 10",0,0,0,"D1","800m"
"280","Sammy Watson","",00:02:03.4,00:02:00.78,NA,NA,NA,"Unattached","","Texas A&M",2018,"SEC",1,1,0,"D1","800m"
"281","Sara Mesiano","OH",NA,00:02:23.54,00:02:15.96,00:02:21.17,NA,"Shaker Heights","","",2018,"UAA",0,0,0,"D3","800m"
"282","Sarah Chacon","NM",00:02:24.3,00:02:28.18,NA,NA,NA,"Navajo Prep","","Fort Lewis",2018,"Rocky Mtn",0,0,0,"D2","800m"
"283","Sarah Cook","MA",NA,NA,NA,00:02:38.42,NA,"Silver Lake Regional","","",2018,"UAA",1,0,0,"D3","800m"
"284","Sarah Hoffman","TN",NA,00:02:26.45,NA,NA,NA,"Chattanooga Christian","","",2018,"MIAC",0,0,0,"D3","800m"
"285","Sarah Mason","OH",NA,00:02:44.22,NA,00:02:21.45,00:02:23.33,"Marlington","","",2018,"OAC",1,0,0,"D3","800m"
"286","Sarah Schuster","IN",00:02:13.2,00:02:22.93,00:02:17.70,00:02:17.65,00:02:24.35,"Noblesville","SR","Bellarmine",2018,"GLVC",1,0,0,"D2","800m"
"287","Saylor Sargent","CO",00:02:26.6,00:02:24.19,NA,NA,00:02:36.80,"Green Mountain","","Fort Lewis",2018,"Rocky Mtn",0,0,0,"D2","800m"
"288","Selena Friedman","CA",00:02:25.6,NA,NA,00:02:30.26,NA,"Santa Cruz","SR "," UC San Diego",2018,"CCAA",0,0,0,"D2","800m"
"289","Semia Houston","GA",00:02:25.7,00:02:22.57,00:02:22.69,00:02:30.95,00:02:31.11,"Shaw","","Columbus St.",2018,"Peach Belt",0,0,0,"D2","800m"
"290","Shannon Ahern","NY",00:02:12.1,00:02:17.78,NA,NA,00:02:19.13,"Kings Park","SR","Boston College",2018,"ACC",0,0,0,"D1","800m"
"291","Shannon Baker","TX",NA,NA,NA,NA,00:02:31.62,"Edgewood","","",2018,"American Rivers Conf",0,0,0,"D3","800m"
"292","Shannon Imbornoni","NY",00:02:21.4,00:02:27.98,NA,NA,NA,"Our Lady Of Mercy","FR","Cortland",2018,"SUNYAC",0,0,0,"D3","800m"
"293","Shannon Jones","IL",00:02:21.6,00:02:28.07,00:02:22.84,00:02:24.58,NA,"Willowbrook","SO","Truman St",2018,"GLVC",0,0,0,"D2","800m"
"294","Shannon Page","NY",00:02:17.1,00:02:26.63,00:02:37.06,NA,NA,"Hilton Central","JR","St. John's",2018,"Big East",0,0,0,"D1","800m"
"295","Shannon Quinn","PA",00:02:09.2,00:02:11.24,00:02:11.91,00:02:14.73,00:02:17.10,"Trinity (Camp Hill)","JR","Virginia Tech",2018,"ACC",0,0,0,"D1","800m"
"296","Shawnee Konrad","WA",00:02:20.4,00:02:16.61,NA,NA,00:02:31.44,"Mt Spokane","FR","Western Washington",2018,"GNAC",0,0,0,"D2","800m"
"297","Shayla Huebner","MI",00:02:16.4,00:02:24.70,NA,NA,NA,"Marquette","","Northern Michigan",2018,"GLIAC",1,0,0,"D2","800m"
"298","Shayla Solomon","OR",00:02:24.6,00:02:21.35,00:02:23.80,00:02:25.50,00:02:35.65,"Junction City","FR","Western Oregon",2018,"GNAC",0,0,0,"D2","800m"
"299","Shayna Phillips","IL",00:02:20.1,00:02:17.66,00:02:21.99,00:02:20.57,NA,"Effingham","SO","McKendree",2018,"GLVC",0,0,0,"D2","800m"
"300","Sierra Biber","VA",00:02:25.9,00:02:20.40,00:02:14.14,00:02:16.27,00:02:25.32,"Patriot","","South Caroli",2018,"SEC",0,0,0,"D1","800m"
"301","Sinclaire Johnson","FL",00:02:04.7,00:02:09.10,00:02:08.71,00:02:12.30,00:02:17.65,"Lake Brantley","SO","OK State",2018,"Big 12",0,0,0,"D1","800m"
"302","Skylar Brooks","WV",00:02:18.5,00:02:20.17,00:02:19.38,00:02:27.53,00:02:32.06,"Morgantown","FR","MIT",2018,"NEWMAC",0,0,0,"D3","800m"
"303","Sophie Dodd","BC",00:02:08.3,00:02:15.77,00:02:14.55,NA,00:02:31.00,"West Point Grey","JR","Simon Fraser",2018,"GNAC",1,0,0,"D2","800m"
"304","Stephanie Sauceda","TX",00:02:14.2,00:02:13.44,00:02:28.81,NA,NA,"Weslaco","SO","UTSA",2018,"Conf USA",0,0,0,"D1","800m"
"305","Sydne Grier","FL",00:02:18.5,00:02:21.30,00:02:21.41,NA,NA,"Bartram Trail","JR","FIU",2018,"Conf USA",0,0,0,"D1","800m"
"306","Sydney Benson","MI",00:02:10.8,00:02:13.74,NA,NA,NA,"Grosse Pointe North","SO","Howard",2018,"MEAC",0,0,0,"D1","800m"
"307","Sydney Packard","MA",00:02:14.4,00:02:17.10,00:02:19.80,00:02:20.97,00:02:24.79,"Bishop Fenwick","SO","WPI",2018,"NEWMAC",1,1,0,"D3","800m"
"308","Tatiana Ogundeko","MD",00:02:18.4,00:02:25.21,00:02:24.88,NA,NA,"North Point","SO","Coppin State",2018,"MEAC",0,0,0,"D1","800m"
"309","Tatyana Hodnett","GA",00:02:12.4,00:02:14.77,00:02:11.90,00:02:17.60,00:02:25.00,"Tri-Cities","SR","Bethune-Cookman",2018,"MEAC",0,0,0,"D1","800m"
"310","Tayler Paulsen","MN",NA,NA,00:02:29.51,00:02:31.24,00:02:41.00,"Eden Prairie","","",2018,"MIAC",0,0,0,"D3","800m"
"311","Taylor Towne","CA",00:02:29.7,00:02:24.72,00:02:35.41,NA,NA,"El Capitan","JR "," Sonoma St.",2018,"CCAA",0,0,0,"D2","800m"
"312","Tia Saunders","IA",00:02:11.1,00:02:12.40,00:02:17.88,NA,NA,"Iowa City West","SO","Iowa",2018,"Big 10",0,0,0,"D1","800m"
"313","Tiffany Brand","CT",00:02:23.2,00:02:19.21,00:02:21.58,NA,00:02:31.59,"New Fairfield","","Nova Southeastern",2018,"Peach Belt",0,0,0,"D2","800m"
"314","Tiffany Perrier","NY",00:02:31.1,NA,NA,00:02:38.40,NA,"Half Hollow Hills East","SR","St. John's",2018,"Big East",0,0,0,"D1","800m"
"315","Tiffany Pryce","OH",00:02:19.9,NA,00:02:24.16,00:02:25.13,NA,"Stow-Munroe Falls","","Ashland",2018,"GLIAC",0,0,0,"D2","800m"
"316","Ukeyvia Beckwith","FL",00:02:34.0,NA,00:02:43.43,00:02:27.79,NA,"Olympia","","Embry-Riddle",2018,"Peach Belt",0,0,0,"D2","800m"
"317","Val Larson","WI",00:02:09.2,NA,00:02:29.70,NA,NA,"DeForest","FR","Minnesota",2018,"Big 10",0,0,0,"D1","800m"
"318","Valeska Halamicek","MO",00:02:08.7,00:02:12.56,00:02:13.61,00:02:18.00,NA,"Francis Howell","","Missouri",2018,"SEC",0,0,0,"D1","800m"
"319","Vanessa Pasadyn","OH",NA,00:02:14.19,NA,NA,NA,"Brunswick Senior","","",2018,"UAA",0,0,0,"D3","800m"
